,item_description,price,category,site_name
0,"ProSense hydrostatic submersible level transmitter, 0 to 5 psig (11.5ft of water column) sensing range, 4-20 mA, stainless steel body and polyoxymethylene (POM) ported bullet nose cap, 1/2in male NPT with shielded and vented 30ft cable.",$306.00,Process Control & Measurement|Level Sensors & Controllers|Submersible Level Sensors,Automation Direct
1,"ProSense hydrostatic submersible level transmitter, 0 to 10 psig (23.1ft of water column) sensing range, 4-20 mA, stainless steel body and polyoxymethylene (POM) ported bullet nose cap, 1/2in male NPT with shielded and vented 40ft cable.",$322.00,Process Control & Measurement|Level Sensors & Controllers|Submersible Level Sensors,Automation Direct
2,"ProSense hydrostatic submersible level transmitter, 0 to 15 psig (34.6ft of water column) sensing range, 4-20 mA, stainless steel body and polyoxymethylene (POM) ported bullet nose cap, 1/2in male NPT with shielded and vented 60ft cable.",$353.00,Process Control & Measurement|Level Sensors & Controllers|Submersible Level Sensors,Automation Direct
3,"ProSense hydrostatic submersible level transmitter, 0 to 20 psig (46.1ft of water column) sensing range, 4-20 mA, stainless steel body and polyoxymethylene (POM) ported bullet nose cap, 1/2in male NPT with shielded and vented 60ft cable.",$353.00,Process Control & Measurement|Level Sensors & Controllers|Submersible Level Sensors,Automation Direct
4,"ProSense hydrostatic submersible level transmitter, 0 to 30 psig (69.2ft of water column) sensing range, 4-20 mA, stainless steel body and polyoxymethylene (POM) ported bullet nose cap, 1/2in male NPT with shielded and vented 100ft cable.",$412.00,Process Control & Measurement|Level Sensors & Controllers|Submersible Level Sensors,Automation Direct
5,"ProSense hydrostatic submersible level transmitter, 0 to 50 psig (115.3ft of water column) sensing range, 4-20 mA, stainless steel body and polyoxymethylene (POM) ported bullet nose cap, 1/2in male NPT with shielded and vented 140ft cable.",$474.00,Process Control & Measurement|Level Sensors & Controllers|Submersible Level Sensors,Automation Direct
6,"ProSense hydrostatic submersible level transmitter, 0 to 5 psig (11.5ft of water column) sensing range, 4-20 mA, stainless steel body and non-fouling stainless steel protective cage, 1/2in male NPT with shielded and vented 30ft cable.",$482.00,Process Control & Measurement|Level Sensors & Controllers|Submersible Level Sensors,Automation Direct
7,"ProSense hydrostatic submersible level transmitter, 0 to 10 psig (23.1ft of water column) sensing range, 4-20 mA, stainless steel body and non-fouling stainless steel protective cage, 1/2in male NPT with shielded and vented 40ft cable.",$496.00,Process Control & Measurement|Level Sensors & Controllers|Submersible Level Sensors,Automation Direct
8,"ProSense hydrostatic submersible level transmitter, 0 to 15 psig (34.6ft of water column) sensing range, 4-20 mA, stainless steel body and non-fouling stainless steel protective cage, 1/2in male NPT with shielded and vented 60ft cable.",$527.00,Process Control & Measurement|Level Sensors & Controllers|Submersible Level Sensors,Automation Direct
9,"ProSense hydrostatic submersible level transmitter, 0 to 20 psig (46.1ft of water column) sensing range, 4-20 mA, stainless steel body and non-fouling stainless steel protective cage, 1/2in male NPT with shielded and vented 60ft cable.",$527.00,Process Control & Measurement|Level Sensors & Controllers|Submersible Level Sensors,Automation Direct
10,"ProSense hydrostatic submersible level transmitter, 0 to 30 psig (69.2ft of water column) sensing range, 4-20 mA, stainless steel body and non-fouling stainless steel protective cage, 1/2in male NPT with shielded and vented 100ft cable.",$587.00,Process Control & Measurement|Level Sensors & Controllers|Submersible Level Sensors,Automation Direct
11,Manual Tube Bender RDB-25,295.00,Metalworking|Tube & Pipe Benders|Manual Rotary Draw Benders,Bailiegh Industrial
12,Hand Bender - RDB-10,795.00,Metalworking|Tube & Pipe Benders|Manual Rotary Draw Benders,Bailiegh Industrial
13,Manual Tube Bender RDB-050,1095.00,Metalworking|Tube & Pipe Benders|Manual Rotary Draw Benders,Bailiegh Industrial
14,Tubing Bender - RDB-100,2495.00,Metalworking|Tube & Pipe Benders|Manual Rotary Draw Benders,Bailiegh Industrial
15,Baileigh Industrial Rotary Draw Bender - RDB-125,4895.00,Metalworking|Tube & Pipe Benders|Hydraulic Rotary Draw Benders,Bailiegh Industrial
16,Tube Bender - RDB-150,6195.00,Metalworking|Tube & Pipe Benders|Hydraulic Rotary Draw Benders,Bailiegh Industrial
17,Pipe Bender RDB-150-AS,6795.00,Metalworking|Tube & Pipe Benders|Hydraulic Rotary Draw Benders,Bailiegh Industrial
18,Tube Bender -  RDB-175,7395.00,Metalworking|Tube & Pipe Benders|Hydraulic Rotary Draw Benders,Bailiegh Industrial
19,Hydraulic Pipe Bender RDB-500,25395.00,Metalworking|Tube & Pipe Benders|Hydraulic Rotary Draw Benders,Bailiegh Industrial
